Latitude,Longitude,Month,Day,Year,#/km^2,micro,macro,Plastic conc wind [g/km2,micro,Macro,Source,Note,total Pieces,,,,Event,Depth top [m],Depth bot [m],Depth water [m],Not Corrected g/km^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.03,-6.65,5,3,2013,,,,0.5,,,Cozar 2015,Corrected for wind,"3,901",0.301785493,,,MedSeA2013/1_46 ,0,0.33,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.95,-5.55,5,4,2013,,,,159,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_47 ,0,0.33,0.2,137.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.12,-4.19,5,4,2013,,,,1041.2,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_48 ,0,0.33,0.2,1041.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.12,-4.18,5,5,2013,,,,401.3,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_49 ,0,0.33,0.2,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.45,-1.89,5,5,2013,,,,56.2,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_50 ,0,0.33,0.2,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.24,-1.25,5,5,2013,,,,580.5,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_51 ,0,0.33,0.2,337.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.57,0.98,5,6,2013,,,,3622,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_52 ,0,0.33,0.2,3622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.49,1.45,5,7,2013,,,,246.3,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_53 ,0,0.33,0.2,246.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.53,5.56,5,8,2013,,,,498.5,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_54 ,0,0.33,0.2,498.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.52,5.56,5,8,2013,,,,107.7,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_55 ,0,0.33,0.2,107.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.27,8.69,5,9,2013,,,,1130.9,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_56 ,0,0.33,0.2,1130.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.12,12.68,5,10,2013,,,,4.4,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_57 ,0,0.33,0.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.04,13.18,5,11,2013,,,,351.9,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_58 ,0,0.33,0.2,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.04,15.23,5,11,2013,,,,1813.8,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_59 ,0,0.33,0.2,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.12,18.29,5,12,2013,,,,258,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_60 ,0,0.33,0.2,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.89,18.55,5,13,2013,,,,70.2,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_61 ,0,0.33,0.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.5,28,5,15,2013,,,,1290.9,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_62 ,0,0.33,0.2,552.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.47,28.08,5,15,2013,,,,553.8,,,Cozar 2015,Corrected for wind,,,,,MedSeA2013/1_63 ,0,0.33,0.2,485.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
