Lat,Long,Month,Day,Year,Total,<5mm,>5mm,Weight,<5mm,>5mm,Source,Note,,>5mm/m^3,<5mm/m^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.1739,-130.6708,7,21,2014,178360,178360,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.5488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3773,-132.3948,7,22,2014,77837.5,77837.5,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5551,-132.4028,7,22,2014,34547.5,34547.5,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.3952,-134.6378,7,23,2014,48360,48360,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4103,-135.4135,7,23,2014,25480,25480,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.4831,-141.5545,7,30,2014,83752.5,83752.5,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.2577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.5013,-140.7945,8,4,2014,9782.5,9782.5,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0165,-133.5914,7,17,2014,19500,19500,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0136,-143.2608,8,7,2014,9945,9945,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.0306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.3739,-131.4441,8,21,2014,28015,28015,0,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0,0.0862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1217,-143.703,8,7,2014,34222.5,32857.5,1365,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0042,0.1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.2553,-142.7835,8,6,2014,38187.5,36367.5,1820,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0056,0.1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9622,-137.6737,7,26,2014,30225,28210,2015,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0062,0.0868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.7893,-141.9879,7,30,2014,42900,40430,2470,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0076,0.1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2378,-131.9062,7,21,2014,65780,62725,3055,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0094,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0023,-138.7907,7,27,2014,50375,44785,5590,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0172,0.1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.248,-131.8873,7,21,2014,52000,45890,6110,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0188,0.1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
