Lat,Long,Month,Day,Year,Items /km2,micro,macro,weight,micro,macro,Source,Note,Wave height (m),Wind speed (m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.19251667,8.206533333,7,9,2012,18657.48,,,,,,Panti et al 2015,Not corrected for wind or sea,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.19251667,8.206533333,7,9,2012,0.00,,,,,,Panti et al 2015,Not corrected for wind or sea,0.3,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.12686667,8.327633333,7,10,2012,29568.30,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.12246667,8.083966667,7,11,2012,88704.91,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.9068,8.244833333,7,12,2012,14784.15,,,,,,Panti et al 2015,Not corrected for wind or sea,0.5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.92388333,8.284133333,7,12,2012,29568.30,,,,,,Panti et al 2015,Not corrected for wind or sea,0.4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.9323,8.238416667,7,12,2012,29568.30,,,,,,Panti et al 2015,Not corrected for wind or sea,0.3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.93433333,8.305633333,7,13,2012,44352.45,,,,,,Panti et al 2015,Not corrected for wind or sea,0.1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.88376667,8.307066667,7,13,2012,44352.45,,,,,,Panti et al 2015,Not corrected for wind or sea,0.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.86421667,8.343383333,7,13,2012,0.00,,,,,,Panti et al 2015,Not corrected for wind or sea,0.2,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.84958333,8.42205,7,13,2012,24156.78,,,,,,Panti et al 2015,Not corrected for wind or sea,0.3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.02533333,8.289633333,7,13,2012,0.00,,,,,,Panti et al 2015,Not corrected for wind or sea,0.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.14821667,8.235166667,7,14,2012,29568.30,,,,,,Panti et al 2015,Not corrected for wind or sea,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.02668333,7.914466667,7,8,2013,59136.61,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.99426667,8.07,7,8,2013,44352.45,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.14605,8.072966667,7,9,2013,14784.15,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.16483333,8.29215,7,10,2013,29581.81,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.31285,8.0817,7,10,2013,103489.06,,,,,,Panti et al 2015,Not corrected for wind or sea,0.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.24106667,8.033416667,7,10,2013,709639.27,,,,,,Panti et al 2015,Not corrected for wind or sea,0.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.98375,8.220983333,7,11,2013,44352.45,,,,,,Panti et al 2015,Not corrected for wind or sea,0.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.32301667,8.281716667,7,12,2013,59136.61,,,,,,Panti et al 2015,Not corrected for wind or sea,0.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.18515,8.501683333,7,13,2013,0.00,,,,,,Panti et al 2015,Not corrected for wind or sea,<0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.36978333,8.551933333,7,13,2013,29568.30,,,,,,Panti et al 2015,Not corrected for wind or sea,0.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.33903333,8.72375,7,14,2013,73920.76,,,,,,Panti et al 2015,Not corrected for wind or sea,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.82845,7.852033333,7,16,2013,162625.67,,,,,,Panti et al 2015,Not corrected for wind or sea,0.4,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.79363333,8.030566667,7,16,2013,59136.61,,,,,,Panti et al 2015,Not corrected for wind or sea,0.5,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
