Lat DD,Lon DD,Month,Day,Year,piece/km^2,micro,macro,Weight,micro,macro,Source,Note,Total Plastic,m^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.19833333,-8.088333333,7,12,2015,4138.85871,,,,,,SEA ED Logs,Not Corrected,8,1932.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.535,-7.68,7,13,2015,379.0032215,,,,,,SEA ED Logs,Not Corrected,1,2638.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.79333333,-7.185,7,13,2015,7045.147655,,,,,,SEA ED Logs,Not Corrected,12,1703.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.84166667,-6.941666667,7,13,2015,2436.290991,,,,,,SEA ED Logs,Not Corrected,5,2052.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.33,-5.791666667,7,14,2015,526.0666,,,,,,SEA ED Logs,Not Corrected,1,1900.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.12166667,-4.571666667,7,18,2015,16446.49584,,,,,,SEA ED Logs,Not Corrected,31,1884.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.49166667,-6.026666667,7,19,2015,20723.43632,,,,,,SEA ED Logs,Not Corrected,44,2123.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.87333333,-6.345,7,19,2015,0,,,,,,SEA ED Logs,Not Corrected,0,1807.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.44166667,-6.453333333,7,20,2015,550.660793,,,,,,SEA ED Logs,Not Corrected,1,1816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.72166667,-6.303333333,7,20,2015,5628.165843,,,,,,SEA ED Logs,Not Corrected,9,1599.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.16333333,-6.038333333,7,20,2015,6889.08572,,,,,,SEA ED Logs,Not Corrected,14,2032.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.96166667,-7.34,7,21,2015,27636.05442,,,,,,SEA ED Logs,Not Corrected,52,1881.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.49666667,-8.268333333,7,22,2015,9312.638581,,,,,,SEA ED Logs,Not Corrected,21,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.995,-9.38,7,22,2015,1080.905799,,,,,,SEA ED Logs,Not Corrected,2,1850.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.7,-10.05,7,23,2015,3995.43379,,,,,,SEA ED Logs,Not Corrected,7,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.44166667,-11.11166667,7,23,2015,8577.461072,,,,,,SEA ED Logs,Not Corrected,13,1515.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.13666667,-11.03,7,24,2015,3722.31528,,,,,,SEA ED Logs,Not Corrected,6,1611.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.64833333,-11.43333333,7,24,2015,8809.408448,,,,,,SEA ED Logs,Not Corrected,20,2270.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.085,-11.325,7,25,2015,1301.292617,,,,,,SEA ED Logs,Not Corrected,3,2305.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.315,-10.6,7,25,2015,0,,,,,,SEA ED Logs,Not Corrected,0,1626.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.79166667,-10.76833333,7,26,2015,707.764173,,,,,,SEA ED Logs,Not Corrected,1,1412.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.54333333,-10.89,7,26,2015,2204.70705,,,,,,SEA ED Logs,Not Corrected,4,1814.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.85333333,-10.63166667,7,27,2015,4918.147966,,,,,,SEA ED Logs,Not Corrected,7,1423.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.53666667,-9.341666667,8,1,2015,29128.88156,,,,,,SEA ED Logs,Not Corrected,53,1819.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.48,-10.23166667,8,2,2015,502.5883299,,,,,,SEA ED Logs,Not Corrected,1,1989.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.71,-10.605,8,2,2015,6668.88963,,,,,,SEA ED Logs,Not Corrected,10,1499.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.15,-9.191666667,8,3,2015,1096.671602,,,,,,SEA ED Logs,Not Corrected,2,1823.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.27166667,-8.456666667,8,3,2015,3360.699025,,,,,,SEA ED Logs,Not Corrected,7,2082.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.53166667,-7.731666667,8,4,2015,1331.292019,,,,,,SEA ED Logs,Not Corrected,2,1502.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.35166667,-7.101666667,8,4,2015,534.1024408,,,,,,SEA ED Logs,Not Corrected,1,1872.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.35,-6.598333333,8,4,2015,1044.986676,,,,,,SEA ED Logs,Not Corrected,2,1913.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.64833333,-66.145,4,22,2015,0,,,,,,SEA ED Logs,Not Corrected,0,2149.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.815,-66.225,4,23,2015,0,,,,,,SEA ED Logs,Not Corrected,0,1462.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.43166667,-66.28833333,4,23,2015,0,,,,,,SEA ED Logs,Not Corrected,0,1435.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.17333333,-66.45333333,4,24,2015,23806.37482,,,,,,SEA ED Logs,Not Corrected,36,1512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.11833333,-66.73833333,4,24,2015,3077.46417,,,,,,SEA ED Logs,Not Corrected,7,2274.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.91666667,-66.81,4,25,2015,0,,,,,,SEA ED Logs,Not Corrected,0,1340.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.45833333,-66.845,4,25,2015,16728.23587,,,,,,SEA ED Logs,Not Corrected,24,1434.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42166667,-66.94833333,4,25,2015,44409.61338,,,,,,SEA ED Logs,Not Corrected,85,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.005,-67.145,4,26,2015,8801.267383,,,,,,SEA ED Logs,Not Corrected,15,1704.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.85833333,-67.08333333,4,27,2015,0,,,,,,SEA ED Logs,Not Corrected,0,1477.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.27666667,-67.12833333,4,27,2015,5758.710049,,,,,,SEA ED Logs,Not Corrected,10,1736.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.95833333,-67.1,4,28,2015,9003.061041,,,,,,SEA ED Logs,Not Corrected,15,1666.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.245,-66.99166667,4,28,2015,36601.9748,,,,,,SEA ED Logs,Not Corrected,43,1174.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
